id,sku,name,description,category_id,uom_id,image_url,list_price,cost_price,reorder_level,reorder_quantity,supplier_lead_time_days,status,barcode,created_at,updated_at,is_deleted
39,SKU-00039,Plus Meter 348P,High-quality Meter for SmartHome applications.,19,6,,3638.1,1065.94,21,92,18,discontinued,281998038688,2026-05-01 03:27:30,2024-04-18 14:42:52,false
40,SKU-00040,Pro Switch 761R,High-quality Switch for SmartHome applications.,20,6,,4754.29,1514.36,28,114,27,active,374738558059,2024-04-09 10:02:43,2025-01-29 13:55:51,false
41,SKU-00041,Basic Camera 628J,High-quality Camera for SmartHome applications.,1,6,,4552.05,2471.56,16,20,10,active,997891650069,2024-10-07 14:45:38,2025-03-28 08:24:41,false
42,SKU-00042,Smart Switch 924N,High-quality Switch for SmartHome applications.,2,3,,1465.86,522.46,40,77,11,active,843992781669,2024-06-02 15:48:30,2026-03-05 00:13:10,false
43,SKU-00043,Premium Meter 172R,High-quality Meter for SmartHome applications.,3,6,,4703.43,1237.61,29,150,7,active,754487873559,2024-03-01 03:44:53,2025-05-04 20:27:47,false
44,SKU-00044,Premium Router 975P,High-quality Router for SmartHome applications.,4,3,,4110.8,2226.2,20,161,24,active,691855551287,2024-10-15 12:55:36,2025-02-06 13:05:31,false
45,SKU-00045,Advanced TV 223A,High-quality TV for SmartHome applications.,5,6,,2970.65,2226.69,15,137,19,active,184045856587,2025-07-30 09:15:59,2025-03-16 12:46:39,false
46,SKU-00046,Eco Hub 910Z,High-quality Hub for SmartHome applications.,6,1,,1421.38,997.68,31,68,19,active,128060544064,2025-08-22 00:41:11,2024-08-21 04:00:45,false
47,SKU-00047,Ultra Speaker 839P,High-quality Speaker for SmartHome applications.,7,2,,4822.1,1347.09,34,83,14,discontinued,579894411084,2024-11-20 14:03:22,2024-08-17 11:10:04,false
48,SKU-00048,Eco Camera 202N,High-quality Camera for SmartHome applications.,8,4,,602.66,509.71,31,188,20,active,855671194631,2026-04-23 20:16:52,2024-04-08 22:25:52,false
49,SKU-00049,Smart Bulb 173O,High-quality Bulb for SmartHome applications.,9,6,,1624.1,1205.4,34,106,29,active,170646909922,2025-10-13 03:35:13,2025-03-11 06:41:45,false
50,SKU-00050,Plus Camera 298Q,High-quality Camera for SmartHome applications.,10,3,,3873.99,1164.58,43,200,16,active,545463996134,2024-11-02 13:07:05,2025-03-11 13:40:53,false
51,SKU-00051,Smart Switch 583B,High-quality Switch for SmartHome applications.,11,6,,4883.71,2168.12,21,188,21,active,504254650312,2025-07-03 21:29:36,2024-02-26 11:58:15,false
52,SKU-00052,Basic Camera 659P,High-quality Camera for SmartHome applications.,12,4,,3084.54,503.35,31,46,9,active,719011948330,2025-02-04 04:21:36,2025-04-30 21:14:03,false
53,SKU-00053,Elite Camera 294C,High-quality Camera for SmartHome applications.,13,1,,3757.88,1237.71,36,167,9,active,401333762381,2024-06-18 03:23:47,2025-02-17 15:55:54,false
54,SKU-00054,Mini Meter 706O,High-quality Meter for SmartHome applications.,14,6,,523.29,386.12,41,81,19,active,861575078376,2024-05-08 10:10:00,2024-04-26 16:59:15,false
55,SKU-00055,Advanced TV 673J,High-quality TV for SmartHome applications.,15,4,,1103.5,956.01,39,186,17,active,609468053835,2025-10-10 18:58:02,2025-04-08 07:30:12,false
56,SKU-00056,Premium Doorbell 497W,High-quality Doorbell for SmartHome applications.,16,3,,4536.25,1106.23,5,73,11,active,655048934376,2025-10-05 08:20:29,2026-01-14 01:03:42,false
57,SKU-00057,Basic Doorbell 190I,High-quality Doorbell for SmartHome applications.,17,3,,4367.61,2822.68,35,48,10,discontinued,769422978434,2024-03-05 21:12:40,2024-08-23 18:22:37,false
58,SKU-00058,Elite Switch 359E,High-quality Switch for SmartHome applications.,18,6,,2599.8,870.37,40,26,24,active,424622898513,2024-10-25 02:15:20,2024-11-01 05:56:49,false
59,SKU-00059,Ultra Speaker 416A,High-quality Speaker for SmartHome applications.,19,2,,1576.41,743.49,50,41,30,active,545503307953,2026-03-13 20:08:59,2024-04-05 13:52:34,false
60,SKU-00060,Basic Sensor 578Y,High-quality Sensor for SmartHome applications.,20,6,,2701.3,2226.28,12,62,29,discontinued,438891032974,2024-04-09 15:29:51,2026-04-30 09:47:36,false
61,SKU-00061,Advanced Switch 629L,High-quality Switch for SmartHome applications.,1,6,,2934.49,2548.91,24,184,24,discontinued,414588358804,2024-06-28 03:31:23,2025-01-19 06:33:30,false
62,SKU-00062,Basic Lock 501T,High-quality Lock for SmartHome applications.,2,2,,1162.7,1045.24,27,143,15,discontinued,954234901664,2025-05-19 22:08:57,2025-08-24 13:37:10,false
63,SKU-00063,Smart Strip 682W,High-quality Strip for SmartHome applications.,3,1,,4148.73,837.35,35,45,7,active,496830270646,2026-02-17 14:48:25,2024-02-08 11:07:20,false
64,SKU-00064,Elite Sensor 621U,High-quality Sensor for SmartHome applications.,4,6,,3328.74,2227.88,33,173,28,active,779741541506,2024-10-29 03:45:04,2024-09-18 20:24:39,false
65,SKU-00065,Plus Router 849M,High-quality Router for SmartHome applications.,5,4,,1767.74,1309.97,49,165,16,active,986721958876,2025-06-05 12:45:24,2024-01-04 18:06:35,false
66,SKU-00066,Smart Lock 659W,High-quality Lock for SmartHome applications.,6,4,,2105.04,1043.12,36,178,20,active,973461138240,2025-02-10 08:04:06,2024-06-29 04:54:00,false
67,SKU-00067,Pro Router 648T,High-quality Router for SmartHome applications.,7,4,,2075.39,475.03,14,52,18,active,786742342549,2024-02-23 16:56:39,2026-05-03 16:47:41,false
68,SKU-00068,Smart Speaker 559H,High-quality Speaker for SmartHome applications.,8,6,,4586.69,1002.03,30,95,7,active,339964881777,2024-12-14 01:07:50,2025-06-12 21:49:17,false
69,SKU-00069,Mini Router 239V,High-quality Router for SmartHome applications.,9,4,,2534.49,2254.84,35,80,17,active,496297176257,2026-04-16 19:32:05,2025-02-26 04:07:05,false
70,SKU-00070,Basic Strip 404F,High-quality Strip for SmartHome applications.,10,4,,1351.42,539.44,50,25,19,active,573014701789,2024-10-16 12:51:30,2026-01-09 06:10:03,false
71,SKU-00071,Pro Strip 449L,High-quality Strip for SmartHome applications.,11,3,,2447.92,2017.58,40,167,15,active,565960372879,2025-12-11 14:39:51,2026-02-17 04:35:00,false
72,SKU-00072,Basic Speaker 629G,High-quality Speaker for SmartHome applications.,12,6,,1165.55,965.56,34,61,16,active,299837472009,2024-07-25 11:01:55,2025-01-12 05:47:19,false
73,SKU-00073,Smart Meter 575T,High-quality Meter for SmartHome applications.,13,6,,4226.8,2704.71,31,159,9,active,426727688697,2025-07-24 01:05:06,2024-09-05 00:03:20,false
74,SKU-00074,Elite Strip 556Y,High-quality Strip for SmartHome applications.,14,1,,3323.68,1425.02,50,156,12,active,359799749798,2025-12-25 23:12:04,2024-11-10 02:17:56,false
75,SKU-00075,Smart Hub 744P,High-quality Hub for SmartHome applications.,15,6,,4866.95,1000.85,5,101,24,discontinued,882883554002,2026-03-09 17:29:33,2024-04-14 09:04:36,false
76,SKU-00076,Pro Thermostat 907H,High-quality Thermostat for SmartHome applications.,16,2,,3158.16,2103.59,50,75,21,active,626395557264,2026-02-18 16:08:23,2024-05-31 04:02:02,false
77,SKU-00077,Elite Doorbell 480F,High-quality Doorbell for SmartHome applications.,17,5,,864.11,622.98,9,167,17,discontinued,379750430038,2025-04-06 03:53:49,2024-08-10 19:42:40,false
78,SKU-00078,Ultra Camera 343R,High-quality Camera for SmartHome applications.,18,3,,2329.21,1762.31,14,134,24,active,577073079606,2025-07-23 06:38:17,2026-04-07 04:23:18,false
79,SKU-00079,Smart Switch 240B,High-quality Switch for SmartHome applications.,19,1,,4881.13,2004.12,45,119,13,active,940357830575,2026-01-08 23:27:27,2026-03-19 17:32:07,false
80,SKU-00080,Premium Hub 789L,High-quality Hub for SmartHome applications.,20,1,,4661.24,2281.46,37,134,19,active,129439901915,2026-03-14 15:27:07,2025-07-29 15:32:50,false
81,SKU-00081,Advanced Doorbell 945D,High-quality Doorbell for SmartHome applications.,1,2,,2968.33,1190.14,29,145,25,discontinued,996434140903,2025-03-09 07:06:31,2024-09-05 01:16:51,false
82,SKU-00082,Mini Sensor 991G,High-quality Sensor for SmartHome applications.,2,6,,1151.56,496.36,50,69,18,active,533131850219,2025-12-18 17:50:06,2024-09-22 16:01:35,false
83,SKU-00083,Eco Hub 223Y,High-quality Hub for SmartHome applications.,3,1,,4595.49,689.99,24,127,12,active,894570037299,2025-07-18 21:02:33,2024-12-24 23:47:08,false
84,SKU-00084,Eco Thermostat 875Y,High-quality Thermostat for SmartHome applications.,4,6,,895.88,406.58,11,188,14,active,149393768974,2025-03-15 05:55:51,2025-08-12 06:27:06,false
85,SKU-00085,Mini Meter 398F,High-quality Meter for SmartHome applications.,5,1,,3468.84,1683.9,15,33,27,active,998874255782,2025-12-20 21:06:30,2024-07-16 13:20:09,false
86,SKU-00086,Premium TV 621B,High-quality TV for SmartHome applications.,6,3,,858.96,536.8,29,133,9,active,747344011124,2025-11-16 23:37:25,2024-06-09 03:01:58,false
87,SKU-00087,Eco Doorbell 318P,High-quality Doorbell for SmartHome applications.,7,4,,2887.95,1338.18,11,143,9,discontinued,690017132042,2026-03-30 21:51:17,2024-03-25 04:05:34,false
88,SKU-00088,Advanced Router 277L,High-quality Router for SmartHome applications.,8,3,,3439.13,2468.42,39,43,18,active,793739082746,2025-06-13 20:21:58,2025-04-02 15:14:27,false
89,SKU-00089,Plus Router 770N,High-quality Router for SmartHome applications.,9,1,,1899.63,785.95,37,49,10,active,661783372018,2024-09-15 20:03:29,2025-03-10 11:31:20,false
90,SKU-00090,Basic Camera 622N,High-quality Camera for SmartHome applications.,10,2,,2426.14,2093.37,44,166,20,active,150303674276,2024-11-09 03:02:56,2024-08-25 14:06:42,false
91,SKU-00091,Pro Plug 619A,High-quality Plug for SmartHome applications.,11,1,,3578.18,1400.69,47,96,29,discontinued,415550008819,2026-03-01 18:42:54,2024-01-24 10:03:12,false
92,SKU-00092,Mini Doorbell 568A,High-quality Doorbell for SmartHome applications.,12,2,,4788.53,1379.02,19,91,18,active,574839680006,2025-08-17 09:01:26,2025-11-27 01:59:06,false
93,SKU-00093,Eco Sensor 759Y,High-quality Sensor for SmartHome applications.,13,3,,969.31,477.73,27,171,7,discontinued,964767058084,2024-05-16 07:54:42,2024-02-26 19:28:42,false
94,SKU-00094,Premium Speaker 195V,High-quality Speaker for SmartHome applications.,14,5,,3349.22,339.81,19,39,9,discontinued,247809648189,2025-12-09 20:21:21,2025-02-02 19:30:17,false
95,SKU-00095,Premium Switch 621R,High-quality Switch for SmartHome applications.,15,3,,820.43,689.52,33,163,10,active,198592856487,2024-05-21 22:43:16,2025-09-08 07:27:46,false
96,SKU-00096,Elite Strip 898A,High-quality Strip for SmartHome applications.,16,5,,3499.9,2455.92,9,59,16,active,969262757617,2025-09-05 02:31:04,2025-03-16 04:47:51,false
97,SKU-00097,Ultra Strip 770B,High-quality Strip for SmartHome applications.,17,6,,3759.88,845.36,25,147,7,discontinued,400808830386,2025-06-14 00:46:45,2024-04-03 09:59:07,false
98,SKU-00098,Smart Sensor 588F,High-quality Sensor for SmartHome applications.,18,6,,4769.96,1478.05,13,118,24,active,398609976692,2025-10-22 23:05:24,2025-12-21 11:50:53,false
99,SKU-00099,Mini Camera 182Y,High-quality Camera for SmartHome applications.,19,1,,3286.57,656.41,22,66,25,active,579676205058,2025-05-12 02:44:53,2025-08-10 22:07:37,false
100,SKU-00100,Ultra Lock 886L,High-quality Lock for SmartHome applications.,20,2,,2574.95,2271.79,13,141,7,active,666690798739,2026-04-20 08:07:59,2024-10-27 17:42:17,false
101,SKU-00101,Plus TV 822C,High-quality TV for SmartHome applications.,1,3,,4234.47,2999.11,17,168,13,active,395363623552,2026-04-21 15:07:15,2025-03-06 18:38:35,false
102,SKU-00102,Elite Meter 325Y,High-quality Meter for SmartHome applications.,2,2,,1361.81,688.92,50,35,15,active,590474727017,2024-06-16 08:12:59,2024-07-24 17:16:58,false
103,SKU-00103,Pro Doorbell 425N,High-quality Doorbell for SmartHome applications.,3,1,,3400.23,1503.44,27,131,27,active,199580858351,2025-09-17 23:28:18,2026-01-28 06:05:20,false
104,SKU-00104,Premium Speaker 178A,High-quality Speaker for SmartHome applications.,4,5,,2940.14,411.58,42,24,13,active,968838933391,2026-02-01 15:07:56,2024-10-05 08:34:20,false
105,SKU-00105,Elite Doorbell 389X,High-quality Doorbell for SmartHome applications.,5,4,,1497.5,1287.5,30,70,29,active,580431943925,2024-03-25 14:53:50,2024-09-28 18:33:00,false
106,SKU-00106,Advanced Router 422O,High-quality Router for SmartHome applications.,6,5,,3101.21,1977.42,7,150,13,active,218647094635,2025-06-23 14:29:07,2025-02-12 00:10:46,false
107,SKU-00107,Basic Hub 348G,High-quality Hub for SmartHome applications.,7,2,,1135.88,574.53,46,26,18,discontinued,790906830248,2026-05-03 11:24:33,2025-03-21 13:31:16,false
108,SKU-00108,Basic Switch 570B,High-quality Switch for SmartHome applications.,8,2,,1614.06,814.19,42,147,28,discontinued,929970829084,2025-05-19 12:49:40,2026-01-06 11:21:28,false
109,SKU-00109,Ultra TV 198I,High-quality TV for SmartHome applications.,9,4,,4322.98,1462.36,44,93,23,discontinued,497588478173,2025-10-11 05:20:16,2025-08-30 00:26:22,false
110,SKU-00110,Advanced Router 710D,High-quality Router for SmartHome applications.,10,6,,1207.66,357.9,43,31,7,active,800607111690,2024-05-13 10:27:15,2025-05-27 19:03:22,false
111,SKU-00111,Basic Doorbell 640R,High-quality Doorbell for SmartHome applications.,11,4,,2420.09,1235.14,20,140,20,active,239187308237,2025-01-26 00:10:00,2025-03-07 22:45:29,false
112,SKU-00112,Eco Thermostat 121F,High-quality Thermostat for SmartHome applications.,12,3,,3064.3,773.2,5,35,24,discontinued,740929822885,2024-06-24 16:08:18,2025-11-04 22:35:48,false
113,SKU-00113,Elite TV 944Q,High-quality TV for SmartHome applications.,13,4,,747.36,653.2,20,199,26,active,783517762315,2025-05-14 13:14:19,2024-12-06 11:36:05,false
114,SKU-00114,Eco Sensor 318J,High-quality Sensor for SmartHome applications.,14,3,,4335.74,894.55,13,81,10,active,607026022159,2024-02-10 08:14:02,2025-05-10 05:27:52,false
115,SKU-00115,Pro Strip 761W,High-quality Strip for SmartHome applications.,15,3,,3400.99,2189.76,10,86,16,active,348616352671,2025-11-16 08:26:39,2026-04-13 00:48:55,false
116,SKU-00116,Pro TV 292C,High-quality TV for SmartHome applications.,16,4,,2783.55,2255.87,27,143,15,discontinued,925280244624,2025-10-25 15:54:20,2024-06-19 07:47:50,false
117,SKU-00117,Plus Doorbell 817S,High-quality Doorbell for SmartHome applications.,17,2,,4555.66,1282.32,22,106,7,active,321849387873,2025-01-29 02:22:35,2026-02-02 23:40:43,false
118,SKU-00118,Premium Meter 868L,High-quality Meter for SmartHome applications.,18,5,,775.69,473.65,28,157,25,discontinued,136386333459,2026-03-18 15:13:07,2024-10-11 03:41:53,false
119,SKU-00119,Advanced Strip 894D,High-quality Strip for SmartHome applications.,19,3,,2992.48,1018.11,8,145,7,discontinued,959847783774,2024-05-14 15:51:20,2026-01-10 19:51:36,false
120,SKU-00120,Elite Lock 515N,High-quality Lock for SmartHome applications.,20,6,,4012.37,2897.94,26,144,23,active,367982994687,2025-09-30 07:47:53,2024-11-28 23:39:02,false
121,SKU-00121,Ultra Bulb 710M,High-quality Bulb for SmartHome applications.,1,2,,845.33,604.93,7,140,12,active,155811761828,2025-08-22 21:10:01,2025-08-18 19:30:33,false
122,SKU-00122,Elite Plug 100V,High-quality Plug for SmartHome applications.,2,2,,675.74,326.16,43,91,26,active,739237222925,2025-11-14 19:53:33,2026-01-02 00:08:30,false
123,SKU-00123,Elite Sensor 805R,High-quality Sensor for SmartHome applications.,3,6,,3779.23,2677.05,18,131,21,active,348307616279,2026-02-06 01:14:44,2024-09-08 09:26:33,false
124,SKU-00124,Premium Meter 195Y,High-quality Meter for SmartHome applications.,4,3,,3036.18,1131,17,75,29,active,791879578715,2025-11-22 17:16:35,2025-01-06 09:16:57,false
125,SKU-00125,Mini TV 266Y,High-quality TV for SmartHome applications.,5,5,,2191.69,1856.43,31,103,12,active,806422690189,2025-05-08 07:54:44,2025-12-06 15:28:18,false
126,SKU-00126,Ultra Doorbell 249X,High-quality Doorbell for SmartHome applications.,6,4,,2583.48,1796.78,8,58,8,active,835269311418,2024-10-16 05:30:43,2025-01-26 19:42:35,false
127,SKU-00127,Mini Speaker 339F,High-quality Speaker for SmartHome applications.,7,6,,3430.09,2378.15,24,42,8,active,917855919130,2025-08-02 09:15:25,2024-03-04 23:39:49,false
128,SKU-00128,Mini Hub 602F,High-quality Hub for SmartHome applications.,8,1,,4341.26,2415.56,25,165,19,active,367685313402,2024-04-26 08:11:31,2026-05-02 00:44:32,false
129,SKU-00129,Plus Plug 649T,High-quality Plug for SmartHome applications.,9,5,,3353.14,1020.65,11,123,11,active,653714244720,2025-03-04 07:37:31,2025-12-12 19:28:04,false
130,SKU-00130,Elite Meter 666B,High-quality Meter for SmartHome applications.,10,4,,2479.73,983.39,8,95,13,active,284467144282,2025-08-13 10:37:39,2024-09-23 05:40:23,false
131,SKU-00131,Elite Bulb 593L,High-quality Bulb for SmartHome applications.,11,5,,2392.94,1289.44,48,62,22,active,852003674631,2024-12-07 14:44:42,2024-05-14 00:19:42,false
132,SKU-00132,Premium Router 395W,High-quality Router for SmartHome applications.,12,4,,872.5,539.77,16,135,10,active,817373478655,2026-04-13 15:21:05,2024-04-12 20:04:32,false
133,SKU-00133,Pro Sensor 475U,High-quality Sensor for SmartHome applications.,13,2,,4382.41,2790.72,6,147,24,active,454510281241,2025-09-21 13:10:28,2024-12-14 08:53:26,false
134,SKU-00134,Plus Thermostat 421M,High-quality Thermostat for SmartHome applications.,14,5,,956.75,479.79,32,173,21,discontinued,662464469189,2024-07-13 15:28:44,2025-02-04 11:30:37,false
135,SKU-00135,Ultra Speaker 302F,High-quality Speaker for SmartHome applications.,15,6,,2336.65,1106.25,27,107,12,active,123446286663,2025-05-13 17:53:37,2026-03-28 08:46:34,false
136,SKU-00136,Ultra Switch 551T,High-quality Switch for SmartHome applications.,16,5,,1081.36,894.85,31,53,22,active,426293563833,2026-03-08 02:19:25,2025-12-17 21:25:39,false
137,SKU-00137,Basic Switch 209Z,High-quality Switch for SmartHome applications.,17,6,,4560.47,2711.85,7,63,28,active,671280577212,2025-06-20 10:43:36,2024-12-11 03:39:50,false
138,SKU-00138,Ultra Router 677A,High-quality Router for SmartHome applications.,18,2,,4482.54,1334.07,14,82,24,active,421158528054,2025-10-11 16:00:58,2024-08-23 12:01:19,false
139,SKU-00139,Mini TV 553P,High-quality TV for SmartHome applications.,19,5,,3683.89,2846.29,40,142,15,active,665478412966,2024-12-01 20:03:46,2024-07-20 05:38:32,false
140,SKU-00140,Plus Router 315G,High-quality Router for SmartHome applications.,20,3,,4899.94,2903.03,18,84,19,active,987630324228,2025-01-21 08:48:53,2024-05-24 08:43:01,false
141,SKU-00141,Eco Strip 516A,High-quality Strip for SmartHome applications.,1,4,,887.03,658.08,22,187,25,active,735913984619,2024-12-25 12:27:18,2026-05-05 20:31:34,false
142,SKU-00142,Premium Plug 853C,High-quality Plug for SmartHome applications.,2,1,,3727.26,1036.62,18,106,15,active,238109755798,2026-01-15 01:13:09,2024-09-10 23:52:13,false
143,SKU-00143,Basic Camera 940C,High-quality Camera for SmartHome applications.,3,2,,1947.56,1699.29,35,121,10,active,214470582978,2024-10-20 02:13:38,2025-08-25 00:49:27,false
144,SKU-00144,Plus Speaker 257B,High-quality Speaker for SmartHome applications.,4,4,,2029.72,1365.14,31,124,17,active,760277661664,2025-06-17 23:45:24,2026-02-05 09:48:30,false
145,SKU-00145,Elite Bulb 795W,High-quality Bulb for SmartHome applications.,5,3,,1287.09,1075.2,14,60,23,active,420889575467,2025-10-10 23:43:23,2025-10-30 22:43:36,false
146,SKU-00146,Premium Lock 643N,High-quality Lock for SmartHome applications.,6,4,,1800.67,630.81,12,196,10,discontinued,615009802812,2025-06-29 12:55:31,2025-06-13 14:06:00,false
147,SKU-00147,Premium Hub 600J,High-quality Hub for SmartHome applications.,7,6,,1959,1698.39,40,67,29,discontinued,985291079579,2024-08-04 22:41:37,2024-01-08 06:31:30,false
148,SKU-00148,Ultra Router 701J,High-quality Router for SmartHome applications.,8,6,,3650.46,2555.55,28,91,15,active,632208170091,2024-09-12 19:16:46,2025-02-26 19:03:44,false
